,lahmanID,playerID,managerID,hofID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameNote,nameGiven,nameNick,weight,height,bats,throws,debut,finalGame,college,lahman40ID,lahman45ID,retroID,holtzID,bbrefID
0,1,aaronha01,,aaronha01h,1934.0,2.0,5.0,USA,AL,Mobile,,,,,,,Hank,Aaron,,Henry Louis,"Hammer,Hammerin' Hank,Bad Henry",180.0,72.0,R,R,4/13/1954,10/3/1976,,aaronha01,aaronha01,aaroh101,aaronha01,aaronha01
1,2,aaronto01,,,1939.0,8.0,5.0,USA,AL,Mobile,1984.0,8.0,16.0,USA,GA,Atlanta,Tommie,Aaron,,Tommie Lee,,190.0,75.0,R,R,4/10/1962,9/26/1971,,aaronto01,aaronto01,aarot101,aaronto01,aaronto01
2,3,aasedo01,,,1954.0,9.0,8.0,USA,CA,Orange,,,,,,,Don,Aase,,Donald William,,190.0,75.0,R,R,7/26/1977,10/3/1990,Cal St. Fullerton,aasedo01,aasedo01,aased001,aasedo01,aasedo01
3,4,abadan01,,,1972.0,8.0,25.0,USA,FL,West Palm Beach,,,,,,,Andy,Abad,,,,184.0,73.0,L,L,9/10/2001,4/13/2006,Middle Georgia JC,abadan01,abadan01,abada001,abadan01,abadan01
4,5,abadijo01,,,1854.0,11.0,4.0,USA,PA,Philadelphia,1905.0,5.0,17.0,USA,NJ,Pemberton,John,Abadie,,John,,192.0,72.0,R,R,4/26/1875,6/10/1875,,abadijo01,abadijo01,abadj101,abadijo01,abadijo01
5,6,abbated01,,,1877.0,4.0,15.0,USA,PA,Latrobe,1957.0,1.0,6.0,USA,FL,Ft.Lauderdale,Ed,Abbaticchio,,Edward James,Batty,170.0,71.0,R,R,9/4/1897,9/15/1910,,abbated01,abbated01,abbae101,abbated01,abbated01
6,7,abbeybe01,,,1869.0,11.0,29.0,USA,VT,Essex,1962.0,6.0,11.0,USA,VT,Essex Junction,Bert,Abbey,,Bert Wood,,175.0,71.0,R,R,6/14/1892,9/23/1896,,abbeybe01,abbeybe01,abbeb101,abbeybe01,abbeybe01
7,8,abbeych01,,,1866.0,10.0,14.0,USA,NE,Falls City,1926.0,4.0,27.0,USA,CA,San Francisco,Charlie,Abbey,,Charles S.,,169.0,68.0,L,,8/16/1893,8/19/1897,,abbeych01,abbeych01,abbec101,abbeych01,abbeych01
8,9,abbotda01,,,1862.0,3.0,16.0,USA,OH,Portage,1930.0,2.0,13.0,USA,MI,Ottawa Lake,Dan,Abbott,,Leander Franklin,Big Dan,190.0,71.0,R,R,4/19/1890,5/23/1890,,abbotda01,abbotda01,abbod101,abbotda01,abbotda01
9,10,abbotfr01,,,1874.0,10.0,22.0,USA,OH,Versailles,1935.0,6.0,11.0,USA,CA,Los Angeles,Fred,Abbott,born Harry Frederick Winbigler,Harry Frederick,,180.0,70.0,R,R,4/25/1903,9/20/1905,,abbotfr01,abbotfr01,abbof101,abbotfr01,abbotfr01
10,11,abbotgl01,,,1951.0,2.0,16.0,USA,AR,Little Rock,,,,,,,Glenn,Abbott,,William Glenn,,200.0,78.0,R,R,7/29/1973,8/8/1984,Arkansas State,abbotgl01,abbotgl01,abbog001,abbotgl01,abbotgl01
11,12,abbotje01,,,1972.0,8.0,17.0,USA,GA,Atlanta,,,,,,,Jeff,Abbott,,Jeffrey William,,190.0,74.0,R,L,6/10/1997,9/29/2001,Kentucky,abbotje01,abbotje01,abboj002,abbotje01,abbotje01
12,13,abbotji01,,abbotji01h,1967.0,9.0,19.0,USA,MI,Flint,,,,,,,Jim,Abbott,,James Anthony,,200.0,75.0,L,L,4/8/1989,7/21/1999,Michigan,abbotji01,abbotji01,abboj001,abbotji01,abbotji01
13,14,abbotku01,,,1969.0,6.0,2.0,USA,OH,Zanesville,,,,,,,Kurt,Abbott,,Kurt Thomas,,180.0,71.0,R,R,9/8/1993,4/13/2001,,abbotku01,abbotku01,abbok002,abbotku01,abbotku01
14,15,abbotky01,,,1968.0,2.0,18.0,USA,MA,Newburyport,,,,,,,Kyle,Abbott,,Lawrence Kyle,,200.0,76.0,L,L,9/10/1991,8/24/1996,Cal St. Long Beach,abbotky01,abbotky01,abbok001,abbotky01,abbotky01
15,16,abbotod01,,,1888.0,9.0,5.0,USA,PA,New Eagle,1933.0,4.0,13.0,USA,DC,Washington,Ody,Abbott,,Ody Cleon,,180.0,74.0,R,R,9/10/1910,10/15/1910,,abbotod01,abbotod01,abboo101,abbotod01,abbotod01
16,17,abbotpa01,,,1967.0,9.0,15.0,USA,CA,Van Nuys,,,,,,,Paul,Abbott,,Paul David,,185.0,75.0,R,R,8/21/1990,8/7/2004,,abbotpa01,abbotpa01,abbop001,abbotpa01,abbotpa01
17,18,aberal01,,,1927.0,7.0,31.0,USA,OH,Cleveland,1993.0,5.0,20.0,USA,OH,Garfield Heights,Al,Aber,,Albert Julius,Lefty,195.0,74.0,L,L,9/15/1950,9/11/1957,,aberal01,aberal01,abera101,aberal01,aberal01
18,19,abercda01,,,1851.0,1.0,2.0,USA,MD,Fort Towson,1939.0,11.0,11.0,USA,PA,Philadelphia,Francis,Abercrombie,Formerly thought to be Dave Abercrombie,Francis Patterson,,181.885744235,,,,10/21/1871,10/21/1871,,abercda01,abercda01,aberd101,abercda01,abercda01
19,20,abernbi01,,,1929.0,1.0,30.0,USA,CA,Torrance,2006.0,2.0,19.0,USA,CA,Yucaipa,Bill,Abernathie,,William Edward,,190.0,70.0,R,R,9/27/1952,9/27/1952,,abernbi01,abernbi01,aberb101,abernbi01,abernbi01
20,21,abernbr01,,,1977.0,9.0,23.0,USA,GA,Atlanta,,,,,,,Brent,Abernathy,,,,185.0,73.0,R,R,6/25/2001,9/29/2005,,abernbr01,abernbr01,aberb001,abernbr01,abernbr01
21,22,abernte01,,,1921.0,10.0,30.0,USA,NC,Mebane,2001.0,11.0,16.0,USA,NC,Charlotte,Tal,Abernathy,also called Ted,Talmadge Lafayette,,210.0,74.0,R,L,9/19/1942,4/29/1944,,abernte01,abernte01,abert102,abernte01,abernte01
22,23,abernte02,,,1933.0,3.0,6.0,USA,NC,Stanley,2004.0,12.0,16.0,USA,NC,Gastonia,Ted,Abernathy,,Theodore Wade,,215.0,76.0,R,R,4/13/1955,9/30/1972,,abernte02,abernte02,abert101,abernte02,abernte02
23,24,abernwo01,,,1915.0,2.0,1.0,USA,NC,Forest City,1994.0,12.0,5.0,USA,KY,Louisville,Woody,Abernathy,,Virgil Woodrow,,170.0,72.0,L,L,7/28/1946,4/17/1947,,abernwo01,abernwo01,aberw101,abernwo01,abernwo01
24,25,aberscl01,,,1921.0,8.0,28.0,USA,IL,Chicago,1973.0,6.0,23.0,USA,CA,Vallejo,Cliff,Aberson,,Clifford Alexander,Kif,200.0,72.0,R,R,7/18/1947,5/9/1949,,aberscl01,aberscl01,aberc101,aberscl01,aberscl01
25,26,ablesha01,,,1883.0,10.0,4.0,USA,TX,Terrell,1951.0,2.0,8.0,USA,TX,San Antonio,Harry,Ables,,Harry Terrell,Hans,200.0,74.0,R,L,9/4/1905,5/5/1911,,ablesha01,ablesha01,ableh101,ablesha01,ablesha01
26,27,abnersh01,,,1966.0,6.0,17.0,USA,OH,Hamilton,,,,,,,Shawn,Abner,,Shawn Wesley,,190.0,73.0,R,R,9/8/1987,10/3/1992,,abnersh01,abnersh01,abnes001,abnersh01,abnersh01
27,28,abramca01,,,1924.0,3.0,2.0,USA,PA,Philadelphia,1997.0,2.0,25.0,USA,FL,Ft.Lauderdale,Cal,Abrams,,Calvin Ross,Abie,185.0,72.0,L,L,4/20/1949,5/9/1956,,abramca01,abramca01,abrac101,abramca01,abramca01
28,29,abramge01,,,1899.0,11.0,9.0,USA,WA,Seattle,1986.0,12.0,5.0,USA,FL,Clearwater,George,Abrams,,George Allen,,170.0,69.0,R,R,4/19/1923,5/4/1923,,abramge01,abramge01,abrag101,abramge01,abramge01
29,30,abregjo01,,,1962.0,7.0,4.0,USA,TX,Corpus Christi,,,,,,,Johnny,Abrego,,Johnny Ray,,185.0,72.0,R,R,9/4/1985,10/3/1985,,abregjo01,abregjo01,abrej001,abregjo01,abregjo01
30,31,abreubo01,,,1974.0,3.0,11.0,Venezuela,,Maracay,,,,,,,Bobby,Abreu,,Bob Kelly,,210.0,72.0,L,R,9/1/1996,,,abreubo01,abreubo01,abreb001,abreubo01,abreubo01
31,32,abreujo01,,,1913.0,5.0,24.0,USA,CA,Oakland,1993.0,3.0,17.0,USA,CA,Hayward,Joe,Abreu,,Joseph Lawrence,,160.0,68.0,R,R,4/23/1942,7/11/1942,,abreujo01,abreujo01,abrej101,abreujo01,abreujo01
32,33,abstebi01,,,1883.0,2.0,2.0,USA,MO,St. Louis,1940.0,4.0,8.0,USA,MO,St.Louis,Bill,Abstein,,William Henry,Big Bill,185.0,72.0,R,R,9/25/1906,6/2/1910,,abstebi01,abstebi01,abstb101,abstebi01,abstebi01
33,34,acevejo01,,,1977.0,12.0,18.0,D.R.,,Santo Domingo,,,,,,,Jose,Acevedo,,,,185.0,72.0,R,R,6/19/2001,9/29/2005,,acevejo01,acevejo01,acevj002,acevejo01,acevejo01
34,35,aceveju01,,,1970.0,5.0,5.0,Mexico,6,Ciudad Juarez,,,,,,,Juan,Acevedo,,Juan Carlos,,195.0,74.0,R,R,4/30/1995,8/5/2003,Parkland JC,aceveju01,aceveju01,acevj001,aceveju01,aceveju01
35,36,ackerji01,,,1958.0,9.0,24.0,USA,TX,Freer,,,,,,,Jim,Acker,,James Justin,,210.0,74.0,R,R,4/7/1983,6/14/1992,Texas,ackerji01,ackerji01,ackej001,ackerji01,ackerji01
36,37,ackerto01,,,1930.0,3.0,7.0,USA,NJ,Paterson,,,,,,,Tom,Acker,,Thomas James,,215.0,76.0,R,R,4/20/1956,9/20/1959,texas,ackerto01,ackerto01,acket101,ackerto01,ackerto01
37,38,acklefr01,,,1937.0,4.0,10.0,USA,WI,Hayward,2002.0,5.0,22.0,USA,MN,Duluth,Fritz,Ackley,,Florian Frederick,,202.0,73.0,L,R,9/21/1963,5/9/1964,,acklefr01,acklefr01,acklf101,acklefr01,acklefr01
38,39,acostcy01,,,1946.0,11.0,22.0,Mexico,25,El Sabino,,,,,,,Cy,Acosta,,Cecilio (Miranda),,165.0,70.0,R,R,6/4/1972,5/5/1975,,acostcy01,acostcy01,acosc101,acostcy01,acostcy01
39,40,acosted01,,,1944.0,3.0,9.0,Panama,,Boquete,,,,,,,Ed,Acosta,,Eduardo Elixbet,,215.0,77.0,B,R,9/7/1970,10/4/1972,,acosted01,acosted01,acose101,acosted01,acosted01
40,41,acostjo01,,,1891.0,3.0,4.0,Cuba,,Havana,1977.0,11.0,16.0,Cuba,,Havana,Jose,Acosta,,Jose,Acostica,134.0,66.0,R,R,7/28/1920,5/12/1922,,acostjo01,acostjo01,acosj101,acostjo01,acostjo01
41,42,acostme01,,,1896.0,5.0,19.0,Cuba,,Bauta,1963.0,11.0,17.0,USA,FL,Miami,Merito,Acosta,,Baldomero Pedro (Fernandez),,140.0,67.0,L,L,6/15/1913,9/2/1918,,acostme01,acostme01,acosm101,acostme01,acostme01
42,43,acrema01,,,1968.0,9.0,16.0,USA,CA,Concord,,,,,,,Mark,Acre,,Mark Robert,,235.0,80.0,R,R,5/13/1994,5/10/1997,New Mexico State,acrema01,acrema01,acrem001,acrema01,acrema01
43,44,,adairbi99m,,1913.0,2.0,10.0,,,,2002.0,6.0,17.0,USA,AL,Bay Minette,Bill,Adair,,Marion Danne,,168.0,72.0,,,,,,adairbi99,adairbi99,adaib801,adairbi99,adairbi99
44,45,adairje01,,,1936.0,12.0,17.0,USA,OK,Sand Springs,1987.0,5.0,31.0,USA,OK,Tulsa,Jerry,Adair,,Kenneth Jerry,Casper the Friendly Ghost,175.0,72.0,R,R,9/2/1958,5/3/1970,,adairje01,adairje01,adaij101,adairje01,adairje01
45,46,adairji01,,,1907.0,1.0,25.0,USA,TX,Waxahachie,1982.0,12.0,9.0,USA,TX,Dallas,Jimmy,Adair,,James Aubrey,Choppy,154.0,70.0,R,R,8/24/1931,9/7/1931,,adairji01,adairji01,adaij102,adairji01,adairji01
46,47,adamsac01,,,1910.0,3.0,2.0,USA,CA,Willows,2006.0,2.0,26.0,USA,GA,Albany,Ace,Adams,,Ace Townsend,,182.0,70.0,R,R,4/15/1941,4/24/1946,,adamsac01,adamsac01,adama101,adamsac01,adamsac01
47,48,adamsba01,,adamsba01h,1882.0,5.0,18.0,USA,IN,Tipton,1968.0,7.0,27.0,USA,MD,Silver Spring,Babe,Adams,,Charles Benjamin,,185.0,71.0,L,R,4/18/1906,8/11/1926,,adamsba01,adamsba01,adamb104,adamsba01,adamsba01
48,49,adamsbe01,,,1891.0,6.0,21.0,USA,TX,Wharton,1940.0,6.0,24.0,USA,CA,Los Angeles,Bert,Adams,,John Bertram,,185.0,73.0,B,R,8/30/1910,9/28/1919,,adamsbe01,adamsbe01,adamb106,adamsbe01,adamsbe01
49,50,adamsbo01,,,1901.0,7.0,24.0,USA,MA,Holyoke,1996.0,10.0,17.0,USA,PA,Lemoyne,Bob,Adams,,Robert Burdette,,168.0,71.0,R,R,9/22/1925,9/23/1925,,adamsbo01,adamsbo01,adamb107,adamsbo01,adamsbo01
50,51,adamsbo02,,,1907.0,1.0,20.0,USA,AL,Birmingham,1970.0,3.0,6.0,USA,FL,Jacksonville,Bob,Adams,,Robert Andrew,,165.0,72.0,R,R,9/27/1931,9/17/1932,,adamsbo02,adamsbo02,adamb102,adamsbo02,adamsbo02
51,52,adamsbo04,,,1952.0,1.0,6.0,USA,PA,Pittsburgh,,,,,,,Bob,Adams,,Robert Melvin,,200.0,74.0,R,R,7/10/1977,9/29/1977,UCLA,adamsbo04,adamsbo04,adamb105,adamsbo04,adamsbo04
52,53,adamsbo03,,adamsbo03h,1921.0,12.0,14.0,USA,CA,Tuolumne,1997.0,2.0,13.0,USA,WA,Gig Harbor,Bobby,Adams,,Robert Henry,,160.0,70.0,R,R,4/16/1946,4/22/1959,,adamsbo03,adamsbo03,adamb103,adamsbo03,adamsbo03
53,54,adamsbu01,,,1915.0,6.0,24.0,USA,CO,Trinidad,1990.0,9.0,1.0,USA,CA,Rancho Mirage,Buster,Adams,,Elvin Clark,,180.0,72.0,R,R,4/27/1939,9/21/1947,,adamsbu01,adamsbu01,adamb101,adamsbu01,adamsbu01
54,55,adamsda01,,,1887.0,6.0,19.0,USA,MO,St. Louis,1964.0,10.0,6.0,USA,MO,St.Louis,Dan,Adams,,Daniel Leslie,Rube,165.0,71.0,R,R,5/22/1914,9/26/1915,,adamsda01,adamsda01,adamd103,adamsda01,adamsda01
55,56,adamsdi01,,,1920.0,4.0,8.0,USA,CA,Tuolumne,,,,,,,Dick,Adams,,Richard Leroy,,185.0,72.0,R,L,5/20/1947,9/28/1947,,adamsdi01,adamsdi01,adamd102,adamsdi01,adamsdi01
56,57,adamsdo01,,,1943.0,1.0,27.0,USA,WI,Blue River,,,,,,,Doug,Adams,,Harold Douglas,,185.0,75.0,L,R,9/8/1969,10/1/1969,,adamsdo01,adamsdo01,adamd101,adamsdo01,adamsdo01
57,58,adamsge01,,,,,,,,,,,,,,,George,Adams,,George,,175.0,66.0,R,R,6/14/1879,,,adamsge01,adamsge01,adamg102,adamsge01,adamsge01
58,59,adamsgl01,,,1947.0,10.0,4.0,USA,MA,Northbridge,,,,,,,Glenn,Adams,,Glenn Charles,,180.0,73.0,L,R,5/4/1975,10/3/1982,Springfield,adamsgl01,adamsgl01,adamg101,adamsgl01,adamsgl01
59,60,adamshe01,,,1928.0,4.0,14.0,USA,CA,Hollywood,,,,,,,Herb,Adams,,Herbert Loren,,160.0,69.0,L,L,9/17/1948,8/30/1950,,adamshe01,adamshe01,adamh101,adamshe01,adamshe01
60,61,adamsji01,,,1868.0,,,USA,IL,East St. Louis,,,,,,,Jim,Adams,,James J.,,181.885744235,,,R,4/21/1890,4/21/1890,,adamsji01,adamsji01,adamj101,adamsji01,adamsji01
61,62,adamsjo01,,,1877.0,10.0,28.0,USA,IL,Cowden,1952.0,10.0,8.0,USA,MO,Bachelor,Joe,Adams,,Joseph Edward,Wagon Tongue,190.0,72.0,R,L,4/26/1902,4/26/1902,,adamsjo01,adamsjo01,adamj102,adamsjo01,adamsjo01
62,63,adamska01,,,1891.0,8.0,11.0,USA,GA,Columbus,1967.0,9.0,17.0,USA,WA,Everett,Karl,Adams,,Karl Tutwiler,Rebel,170.0,74.0,R,R,4/19/1914,9/23/1915,,adamska01,adamska01,adamk101,adamska01,adamska01
63,64,adamsmi02,,,1948.0,7.0,24.0,USA,OH,Cincinnati,,,,,,,Mike,Adams,,Robert Michael,,180.0,69.0,R,R,9/10/1972,7/25/1978,,adamsmi02,adamsmi02,adamm102,adamsmi02,adamsmi02
64,65,adamsre01,,,1921.0,10.0,7.0,USA,CA,Parlier,,,,,,,Red,Adams,,Charles Dwight,,185.0,72.0,R,R,5/5/1946,7/2/1946,,adamsre01,adamsre01,adamr101,adamsre01,adamsre01
65,66,adamsri01,,,1878.0,12.0,23.0,USA,TX,Paris,1955.0,3.0,10.0,USA,TX,Paris,Rick,Adams,,Reuben Alexander,,165.0,72.0,L,L,7/13/1905,9/29/1905,,adamsri01,adamsri01,adamr102,adamsri01,adamsri01
66,67,adamsri02,,,1959.0,1.0,21.0,USA,CA,Upland,,,,,,,Ricky,Adams,,Ricky Lee,,180.0,74.0,R,R,9/15/1982,10/5/1985,UCLA,adamsri02,adamsri02,adamr001,adamsri02,adamsri02
67,68,adamssp01,,adamssp01h,1894.0,8.0,26.0,USA,PA,Zerbe,1989.0,2.0,24.0,USA,PA,Pottsville,Sparky,Adams,,Earl John,,151.0,65.0,R,R,9/18/1922,9/30/1934,,adamssp01,adamssp01,adams101,adamssp01,adamssp01
68,69,adamssp02,,,1898.0,6.0,21.0,USA,UT,Layton,1970.0,11.0,24.0,USA,UT,Salt Lake City,Spencer,Adams,,Spencer Dewey,,158.0,69.0,L,R,5/8/1923,10/2/1927,,adamssp02,adamssp02,adams102,adamssp02,adamssp02
69,70,adamste01,,,1973.0,3.0,6.0,USA,AL,Mobile,,,,,,,Terry,Adams,,Terry Wayne,,180.0,75.0,R,R,8/10/1995,5/23/2005,,adamste01,adamste01,adamt001,adamste01,adamste01
70,71,adamswi01,,,1890.0,9.0,27.0,USA,PA,Clearfield,1937.0,6.0,18.0,USA,NY,Albany,Willie,Adams,,James Irvin,,180.0,76.0,R,R,6/30/1912,9/6/1919,,adamswi01,adamswi01,adamw101,adamswi01,adamswi01
71,72,adamswi02,,,1972.0,10.0,8.0,USA,NM,Gallup,,,,,,,Willie,Adams,,William Edward,,215.0,79.0,R,R,6/11/1996,8/14/1997,Stanford,adamswi02,adamswi02,adamw001,adamswi02,adamswi02
72,73,adamsjo02,,,1971.0,7.0,2.0,USA,CA,Lakewood,,,,,,,Joel,Adamson,,Joel Lee,,185.0,76.0,L,L,4/10/1996,4/26/1998,Cerritos JC,adamsjo02,adamsjo02,adamj001,adamsjo02,adamsjo02
73,74,adamsmi01,,,1947.0,9.0,13.0,USA,CA,San Diego,,,,,,,Mike,Adamson,,John Michael,,185.0,74.0,R,R,7/1/1967,5/7/1969,,adamsmi01,adamsmi01,adamm101,adamsmi01,adamsmi01
74,75,adcocjo01,adcocjo01m,,1927.0,10.0,30.0,USA,LA,Coushatta,1999.0,5.0,3.0,USA,LA,Coushatta,Joe,Adcock,,Joseph Wilbur,,210.0,76.0,R,R,4/23/1950,10/1/1966,,adcocjo01,adcocjo01,adcoj101,adcocjo01,adcocjo01
75,76,addisbo01,,,1925.0,11.0,6.0,USA,OH,Mineral,,,,,,,Bob,Addis,,Robert Gordon,,175.0,72.0,L,R,9/1/1950,6/12/1953,,addisbo01,addisbo01,addib101,addisbo01,addisbo01
76,77,adducji01,,,1959.0,8.0,9.0,USA,IL,Chicago,,,,,,,Jim,Adduci,,James David,,200.0,77.0,L,L,9/12/1983,7/26/1989,Southern Illinois,adducji01,adducji01,adduj001,adducji01,adducji01
77,78,addybo01,addybo01m,,1845.0,2.0,,USA,NY,Rochester,1910.0,4.0,9.0,USA,ID,Pocatello,Bob,Addy,,Robert Edward,Magnet,160.0,68.0,L,L,5/6/1871,,,addybo01,addybo01,addyb101,addybo01,addybo01
78,79,aderhmo01,,,1915.0,9.0,13.0,USA,NC,Mount Olive,1955.0,3.0,18.0,USA,FL,Sarasota,Morrie,Aderholt,,Morris Woodroe,,188.0,73.0,L,R,9/13/1939,9/30/1945,,aderhmo01,aderhmo01,aderm101,aderhmo01,aderhmo01
79,80,adkinde01,,,1918.0,5.0,11.0,USA,KS,Norcatur,1998.0,12.0,26.0,USA,CA,Santa Monica,Dewey,Adkins,,John Dewey,,195.0,74.0,R,R,9/19/1942,10/2/1949,,adkinde01,adkinde01,adkid103,adkinde01,adkinde01
80,81,adkindi01,,,1920.0,3.0,3.0,USA,TX,Electra,1955.0,9.0,12.0,USA,TX,Electra,Dick,Adkins,,Richard Earl,,165.0,70.0,R,R,9/19/1942,9/20/1942,,adkindi01,adkindi01,adkid101,adkindi01,adkindi01
81,82,adkindo01,,,1872.0,8.0,5.0,USA,WI,Troy,1934.0,2.0,21.0,USA,NC,Durham,Doc,Adkins,,Merle Theron,,220.0,70.0,R,R,6/24/1902,9/29/1903,,adkindo01,adkindo01,adkid102,adkindo01,adkindo01
82,83,adkingr01,,,1897.0,6.0,29.0,USA,AR,Jacksonville,1966.0,3.0,31.0,USA,AR,Little Rock,Grady,Adkins,,Grady Emmett,Butcher Boy,175.0,71.0,R,R,4/13/1928,10/5/1929,,adkingr01,adkingr01,adkig101,adkingr01,adkingr01
83,84,adkinst01,,,1964.0,10.0,26.0,USA,IL,Chicago,,,,,,,Steve,Adkins,,Steven Thomas,,210.0,78.0,R,L,9/12/1990,10/3/1990,Pennsylvania,adkinst01,adkinst01,adkis001,adkinst01,adkinst01
84,85,adkinhe01,,,1874.0,9.0,1.0,USA,IL,Chicago,1923.0,5.0,1.0,USA,UT,Salt Lake City,Henry,Adkinson,,Henry Magee,,181.885744235,,,,9/25/1895,9/25/1895,,adkinhe01,adkinhe01,adkih101,adkinhe01,adkinhe01
85,86,adlesda01,,,1943.0,7.0,15.0,USA,CA,Long Beach,,,,,,,Dave,Adlesh,,David George,,187.0,72.0,R,R,5/12/1963,9/28/1968,,adlesda01,adlesda01,adled101,adlesda01,adlesda01
86,87,afenitr01,,,1963.0,9.0,21.0,USA,CA,Escondido,,,,,,,Troy,Afenir,,Michael Troy,,185.0,76.0,R,R,9/14/1987,7/10/1992,Palomar,afenitr01,afenitr01,afent001,afenitr01,afenitr01
87,88,agbaybe01,,,1971.0,12.0,28.0,USA,HI,Honolulu,,,,,,,Benny,Agbayani,,Benny Peter (Jr.),,225.0,72.0,R,R,6/17/1998,9/29/2002,,agbaybe01,agbaybe01,agbab001,agbaybe01,agbaybe01
88,89,ageeto01,,ageeto01h,1942.0,8.0,9.0,USA,AL,Magnolia,2001.0,1.0,22.0,USA,NY,New York,Tommie,Agee,,Tommie Lee,,195.0,71.0,R,R,9/14/1962,9/30/1973,,ageeto01,ageeto01,ageet101,ageeto01,ageeto01
89,90,agganha01,,,1929.0,4.0,20.0,USA,MA,Lynn,1955.0,6.0,27.0,USA,MA,Cambridge,Harry,Agganis,,Aristotle George,The Golden Greek,200.0,74.0,L,L,4/13/1954,6/2/1955,,agganha01,agganha01,aggah101,agganha01,agganha01
90,91,aglerjo01,,,1887.0,6.0,12.0,USA,OH,Coshocton,1971.0,4.0,26.0,USA,OH,Massillon,Joe,Agler,,Joseph Abram,,165.0,71.0,L,L,10/1/1912,9/30/1915,,aglerjo01,aglerjo01,aglej101,aglerjo01,aglerjo01
91,92,agnewsa01,,,1887.0,4.0,12.0,USA,MO,Farmington,1951.0,7.0,19.0,USA,CA,Sonoma,Sam,Agnew,,Samuel Lester,Slam,185.0,71.0,R,R,4/10/1913,9/28/1919,,agnewsa01,agnewsa01,agnes101,agnewsa01,agnewsa01
92,93,agostju01,,,1958.0,2.0,23.0,P.R.,,Rio Piedras,,,,,,,Juan,Agosto,,Juan Roberto (Gonzalez),,190.0,74.0,L,L,9/7/1981,6/19/1993,,agostju01,agostju01,agosj001,agostju01,agostju01
93,94,aguaylu01,,,1959.0,3.0,13.0,P.R.,,Vega Baja,,,,,,,Luis,Aguayo,,Luis (Muriel),,173.0,69.0,R,R,4/19/1980,9/30/1989,,aguaylu01,aguaylu01,agual001,aguaylu01,aguaylu01
94,95,aguilri01,,aguilri01h,1961.0,12.0,31.0,USA,CA,San Gabriel,,,,,,,Rick,Aguilera,,Richard Warren,,195.0,76.0,R,R,6/12/1985,9/6/2000,Brigham Young,aguilri01,aguilri01,aguir001,aguilri01,aguilri01
95,96,aguirha01,,,1931.0,1.0,31.0,USA,CA,Azusa,1994.0,9.0,5.0,USA,MI,Bloomfield Hills,Hank,Aguirre,,Henry John,,205.0,76.0,R,L,9/10/1955,6/24/1970,,aguirha01,aguirha01,aguih101,aguirha01,aguirha01
96,97,ahearch01,,,,,,,,,,,,,,,Charlie,Ahearn,,Charles,,181.885744235,,,,6/19/1880,6/19/1880,,ahearch01,ahearch01,aheac101,ahearch01,ahearch01
97,98,ahearpa01,,,1969.0,12.0,10.0,USA,CA,San Francisco,,,,,,,Pat,Ahearne,,Patrick Howard,,195.0,75.0,R,R,6/14/1995,6/30/1995,Pepperdine,ahearpa01,ahearpa01,aheap001,ahearpa01,ahearpa01
98,99,aikenwi01,,,1954.0,10.0,14.0,USA,SC,Seneca,,,,,,,Willie,Aikens,,Willie Mays,,220.0,75.0,L,R,5/17/1977,4/27/1985,South Carolina,aikenwi01,aikenwi01,aikew001,aikenwi01,aikenwi01
99,100,aingeda01,,,1959.0,3.0,17.0,USA,OR,Eugene,,,,,,,Danny,Ainge,,Daniel Ray,,175.0,76.0,R,R,5/21/1979,9/22/1981,Brigham Young,aingeda01,aingeda01,aingd101,aingeda01,aingeda01
100,101,ainsmed01,,,1890.0,2.0,4.0,Russia,,,1981.0,9.0,6.0,USA,FL,Ft.Lauderdale,Eddie,Ainsmith,born Edward Anshmedt,Edward Wilbur,Dorf,180.0,71.0,R,R,8/9/1910,7/21/1924,,ainsmed01,ainsmed01,ainse101,ainsmed01,ainsmed01
101,102,ainswku01,,,1978.0,9.0,9.0,USA,LA,Baton Rouge,,,,,,,Kurt,Ainsworth,,,,192.0,75.0,R,R,9/5/2001,5/14/2004,Louisiana State,ainswku01,ainswku01,ainsk001,ainswku01,ainswku01
102,103,aitchra01,,,1887.0,12.0,5.0,USA,SD,Tyndall,1958.0,9.0,26.0,USA,KS,Columbus,Raleigh,Aitchison,,Raleigh Leonidas,,175.0,71.0,R,L,4/19/1911,6/20/1915,,aitchra01,aitchra01,aitcr101,aitchra01,aitchra01
103,104,aitonge01,,,1890.0,12.0,29.0,USA,KS,Kingman,1976.0,8.0,16.0,USA,CA,North Hollywood,George,Aiton,,George Wilson,,175.0,71.0,B,R,6/29/1912,7/28/1912,,aitonge01,aitonge01,aitog101,aitonge01,aitonge01
104,105,akejo01,,,1861.0,8.0,29.0,USA,PA,Altoona,1887.0,5.0,11.0,USA,WI,LaCrosse,John,Ake,,John Leckie,,180.0,73.0,R,R,5/12/1884,7/14/1884,,akejo01,akejo01,ake-j101,akejo01,akejo01
105,106,akerja01,,akerja01h,1940.0,7.0,13.0,USA,CA,Tulare,,,,,,,Jack,Aker,,Jackie Delane,,190.0,74.0,R,R,5/3/1964,9/27/1974,,akerja01,akerja01,akerj102,akerja01,akerja01
