,gender,district,sum(aadhaar_generated)
470,M,Rewari,18.0
471,M,Rohtak,75.0
472,M,SAS Nagar (Mohali),9.0
473,M,Sagar,329.0
474,M,Saharsa,1.0
475,M,Sahebganj,59.0
476,M,Samastipur,0.0
477,M,Sangli,569.0
478,M,Sangrur,45.0
479,M,Satara,110.0
480,M,Satna,392.0
481,M,Sawai Madhopur,26.0
482,M,Sehore,53.0
483,M,Seoni,19.0
484,M,Sepahijala,1.0
485,M,Seraikela-Kharsawan,34.0
486,M,Shahdol,258.0
487,M,Shaheed Bhagat Singh Nagar,20.0
488,M,Shajapur,5.0
489,M,Sheopur,45.0
490,M,Shimoga,147.0
491,M,Shivpuri,53.0
492,M,Shrawasti,1.0
493,M,Siddharthnagar,1.0
494,M,Sidhi,216.0
495,M,Sikar,57.0
496,M,Simdega,8.0
497,M,Singrauli,154.0
498,M,Sirsa,158.0
499,M,Solapur,80.0
500,M,Sonbhadra,7.0
501,M,Sonipat,14.0
502,M,South Delhi,5.0
503,M,South Tripura,0.0
504,M,South West Delhi,4.0
505,M,Sri Muktsar Sahib,21.0
506,M,Tarn Taran,125.0
507,M,Thane,144.0
508,M,Tikamgarh,265.0
509,M,Tiruvannamalai,1.0
510,M,Tonk,49.0
511,M,Tumkur,1.0
512,M,Udaipur,16.0
513,M,Ujjain,66.0
514,M,Umaria,137.0
515,M,Una,3.0
516,M,Valsad,2.0
517,M,Vellore,0.0
518,M,Vidisha,84.0
519,M,Viluppuram,18.0
520,M,Wardha,1.0
521,M,Washim,33.0
522,M,West Delhi,3.0
523,M,West Singhbhum,227.0
524,M,West Tripura,24.0
525,M,Yadgir,12.0
526,M,Yamuna Nagar,149.0
527,M,Yavatmal,54.0
